UAE;Abu Dhabi;543;158;11.8;13.2;15.8;19.1;22.8;24.8;27.6;28.7;25.6;21.8;17.5;14.1;23.8;24.6;28.6;33.4;38.4;39.6;42.0;41.5;40.1;35.8;30.6;25.7;3.9;42.0;24.8;7.3;0.1;0.0;0.1;0.1;0.1;0.0;1.8;9.0;0.8;3.5;3.9;1.4;0.0;0.0;0.0;0.1;0.0;0.0;0.2;2.1;0;0;0;0;0;0;0;0;0;0;0;0
Mexico;Acapulco;169;176;23.3;23.5;23.6;24.0;25.2;25.1;25.0;25.0;24.8;25.1;24.9;24.1;30.3;30.4;30.3;30.7;31.5;31.9;32.3;32.2;31.6;31.7;31.5;31.0;13.1;3.3;1.2;4.3;22.6;261.2;243.0;280.3;298.8;127.5;17.0;11.6;1.0;0.5;0.2;0.3;2.5;12.9;12.0;13.3;14.3;7.9;1.7;1.0;0;0;0;0;0;0;0;0;0;0;0;0
Ghana;Accra;409;203;23.4;24.1;24.1;24.2;23.9;23.1;22.5;22.2;22.4;23.9;23.5;23.4;32.1;32.7;32.5;32.2;31.2;29.3;28.5;28.0;29.0;30.5;31.6;31.7;10.9;21.8;57.1;96.8;131.2;221.0;66.0;28.0;67.8;62.4;27.7;16.1;1;2;5;6;10;15;9;7;8;7;3;2;0;0;0;0;0;0;0;0;0;0;0;0
Ethiopia;Addis Abeba;504;195;15;16;17;17;18;17;16;16;16;15;14;14;24;24;25;24;25;23;21;21;22;23;23;23;15;35;65;85;75;120;235;245;140;30;5;5;3;5;7;10;10;20;27;26;18;4;1;1;9;9;8;7;8;6;3;3;5;8;9;9
Jordania;Agaba;495;145;8.9;10.1;12.9;17;20.7;23.6;25.1;25.3;23.3;19.9;14.9;10.3;20.5;22.2;25.7;30.7;35.1;38.4;39.4;39.1;36.4;32.7;27;21.8;4.9;5.2;4.6;3.4;1;0;0;0;0;1.8;3;7.7;2;1.4;1.5;0.8;0.5;0;0;0;0;0.6;0.9;1.9;0;0;0;0;0;0;0;0;0;0;0;0
Australia;Alice Springs;737;272;21.4;20.7;17.4;12.5;8.3;5.2;4.1;6.1;10.1;14.7;17.8;20.2;36.2;35;32.6;27.9;22.9;19.8;19.6;22.5;27;30.7;33.5;35.3;38.7;43.7;33.6;18.2;19.5;14.8;14.5;10.1;8.7;22.1;25.9;38.9;4.6;4.7;3.2;2.2;3.2;2.7;2.7;2.1;2.3;4.9;5.7;5.8;10.1;9.8;9.6;9.4;8.5;8.6;9.2;9.6;10;10;10.1;10.2
Kazakhstan;Almaty;597;110;-11.1;-9.5;-2.4;5.6;10.9;15.2;17.6;16.3;11;4.6;-3.3;-8.8;-1.3;0.2;7.1;16.5;21.7;26.5;29.7;28.8;23.4;15.9;6.2;0.4;33;38;62;109;104;58;35;27;28;59;51;37;7.6;9.1;15.7;20.4;20;13.1;8.8;6.3;6.7;11.3;11.9;9.1;4;4;5;7;8;9;10;10;8;6;4;4
Indonesia;Ambon;722;225;22.1;21.8;22.9;22.8;22.8;22.2;22.3;22.4;21.9;22.3;22.6;24.0;32.3;32.2;31.6;31.5;30.2;29.4;28.5;28.9;29.9;31.4;32.5;33.1;21;44;101;299;402;817;647;457;241;239;196;175;4;10;13;26;22;27;26;22;16;15;17;19;0;0;0;0;0;0;0;0;0;0;0;0
Jordania;Amman;497;140;3.6;4.2;6.1;9.5;13.5;16.6;18.5;18.6;16.6;13.8;9.3;5.2;12.3;13.7;17.2;22.6;27.8;30.8;32;32.4;30.7;27.1;20.4;14.4;63.4;61.7;43.1;13.7;3.3;0;0;0;0.3;6.6;28;49.2;11;10.9;8;4;1.6;0.1;0;0;0.1;2.3;5.3;8.4;7;7;8;10;11;13;13;13;11;10;8;6
Netherlands;Amsterdam;423;88;0.5;0.2;2.4;4;7.8;10.4;12.5;12.3;10.2;7;3.9;1.9;5.4;6;9.2;12.4;17.1;19.2;21.4;21.8;18.4;14.1;9.2;6.5;62.1;43.4;58.9;41;48.3;67.5;65.8;61.4;82.1;85.1;89;74.9;17;13;17;14;14;14;13;13;16;17;19;18;0;0;0;0;0;0;0;0;0;0;0;0
Turkey;Antalya;484;126;5.9;6.2;7.8;11.1;15;19.4;22.4;22.3;19.1;15;10.7;7.6;14.9;15.4;17.7;21.2;25.4;30.5;33.8;33.7;30.9;26.4;21.2;16.7;232.4;160.7;96.8;46.2;30;9.6;2.2;2.5;12.3;67.7;131.9;263.3;12.6;10.8;8.9;6.4;5.3;2.6;0.6;0.7;1.8;5.8;7.6;12.3;5.3;5.7;6.8;8.1;10.1;11.6;12.1;11.7;10.2;8.1;6.5;5
Madagascar;Antananarivo;524;263;16.6;16.9;16.3;15.2;12.9;10.8;10.3;10.3;11.3;13.4;15.1;16.3;27.7;25.9;25.4;24.8;22.9;20.9;20.2;20.6;23.0;25.2;26.0;25.8;270.4;256.9;183.1;50.5;20.1;7.2;11.1;15.0;9.5;66.6;170.8;304.1;18;17;17;9;6;6;8;9;4;8;14;20;0;0;0;0;0;0;0;0;0;0;0;0
Samoa;Apia;856;251;23.9;24.2;24;23.8;23.4;23.2;22.6;22.8;23.1;23.4;23.6;23.8;30.4;30.6;30.6;30.7;30.4;30;29.5;29.6;29.9;30.1;30.3;30.5;489;368;352.1;211.2;192.6;120.8;120.7;113.2;153.9;224.3;261.7;357.5;22;19;19;14;12;7;9;9;11;14;16;19;6;6;6;6;7;7;7;7;8;6;6;6
Peru;Arequipa;234;255;8.6;8.8;8.5;6.9;6.3;5.5;5.5;5.5;6.4;6.6;6.6;7.7;21.5;21;21.4;21.7;21.8;21.3;21.4;21.9;22.3;22.6;22.5;22.1;28;35.6;21.3;0.7;0.2;0;0;1.8;1.4;0.2;1.1;4.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Kazakhstan;Astana;585;91;-22.0;-21.8;-15.6;-2.4;5.8;11.2;13.4;10.9;5.1;-2.1;-11.2;-18.9;-12.6;-11.3;-5.0;9.3;19.6;25.3;27.0;24.3;18.6;8.5;-3.0;-9.7;17;15;15;22;33;33;53;35;24;30;21;20;3.9;3.3;3.3;5.4;8.4;10.4;11.6;9.9;6.8;7.4;4.7;3.9;0;0;0;0;0;0;0;0;0;0;0;0
Greece;Ateny;467;123;5.2;5.4;6.7;9.6;13.9;18.2;20.8;20.7;17.3;13.4;9.8;6.8;12.5;13.5;15.7;20.2;26;31.1;33.5;33.2;29.2;23.3;18.1;14.1;56.9;46.7;40.7;30.8;22.7;10.6;5.8;6;13.9;52.6;58.3;69.1;12.6;10.4;10.2;8.1;6.2;3.7;1.9;1.7;3.3;7.2;9.7;12.1;4;5;6;8;9;11;12;12;9;7;5;4
New Zealand;Auckland;835;306;15.8;15.9;14.9;12.5;9.9;7.9;6.9;7.9;9.4;10.9;12.6;14.3;23.3;23.6;22.5;19.8;17;14.8;14;14.8;16;17.6;19.6;21.6;74.3;81.2;86.4;92.9;100.4;116.3;125.6;111.4;92.9;80.2;83.6;91.4;10;10;11;14;19;19;21;19;17;16;15;12;7;7;6;5;4;4;4;5;5;6;7;7
Iraq;Baghdad;516;137;3.8;5.5;9.6;15.2;20.1;23.3;25.5;24.5;20.7;15.9;9.2;5.1;15.5;18.5;23.6;29.9;36.5;41.3;44.0;43.5;40.2;33.4;23.7;17.2;27.2;19.1;22.0;15.6;3.2;0.0;0.0;0.0;0.0;3.3;12.4;20.0;8;7;8;6;4;0;0;0;0;4;6;7;0;0;0;0;0;0;0;0;0;0;0;0
Mali;Bamako;392;185;17.0;19.9;22.9;25.2;25.4;23.6;22.2;21.8;21.6;21.3;18.4;16.8;33.4;36.4;38.5;39.6;38.5;35.3;32.1;31.1;32.2;34.6;35.3;33.4;0.6;0.7;2.1;19.7;54.1;132.1;224.1;290.2;195.9;66.1;5.2;0.5;0.2;0.2;0.6;3.3;6.3;7.7;16.7;17.9;14.7;5.7;0.3;0.1;0;0;0;0;0;0;0;0;0;0;0;0
India;Bangalore;598;183;15.1;16.6;19.2;21.5;21.2;19.9;19.5;19.4;19.3;19.1;17.2;15.6;27;29.6;32.4;33.6;32.7;29.2;27.5;27.4;28;27.7;26.6;25.9;2.7;7.2;4.4;46.3;119.6;80.6;110.2;137;194.8;180.4;64.5;22.1;0.2;0.5;0.4;3;7;6.4;8.3;10;9.3;9;4;1.7;0;0;0;0;0;0;0;0;0;0;0;0
Thailand;Bangkok;654;181;21;23.3;24.9;26.1;25.6;25.4;25;24.9;24.6;24.3;23.1;20.8;32;32.7;33.7;34.9;34;33.1;32.7;32.5;32.3;32;31.6;31.3;9;30;29;65;220;149;155;197;344;242;48;10;1;2;2;4;13;12;13;15;18;14;5;1;9;8;9;8;8;6;5;5;5;6;8;9
Spain;Barcelona;415;116;4.4;5.3;6.7;8.5;12;15.7;18.6;19.3;16.7;12.6;8.1;5.7;13.4;14.6;15.9;17.6;20.5;24.2;27.5;28;25.5;21.5;17;14.3;41;29;42;49;59;42;20;61;85;91;58;51;6;5;6;7;7;6;3;6;6;8;6;6;5;6;6;7;8;9;10;9;7;5;4;4
China;Beijing;693;117;-9.4;-6.9;-0.6;7.2;13.2;18.2;21.6;20.4;14.2;7.3;-0.4;-6.9;1.6;4;11.3;19.9;26.4;30.3;30.8;29.5;25.8;19;10.1;3.3;3;6;9;26;29;71;176;182;49;19;6;2;2;3;4;5;6;9;14;12;7;5;3;2;7;7;8;8;9;9;7;7;8;8;6;6
UK;Belfast;395;83;1.4;1.3;2.1;3.4;5.7;8.6;10.4;10.3;8.8;6.8;3.3;2.3;6.5;6.4;8.4;10.7;13.6;16.5;17.9;17.6;15.5;12.5;8.7;7.3;87;60;70;57;62;64;57;83;85;94;82;84;20.6;15.7;19.4;15.4;16.2;15.7;15.6;17.2;17.4;19.3;18.4;19.3;1;2;3;5;6;6;4;4;4;3;2;1
Norway;Bergen;423;70;-0.4;-0.5;0.9;3.0;7.2;10.2;11.5;11.6;9.1;6.6;2.8;0.6;3.6;4.0;5.9;9.1;14.0;16.8;17.6;17.4;14.2;11.2;6.9;4.7;190;152;170;114;106;132;148;190;283;271;259;235;21;17;19;17;17;16;18;19;23;24;22;22;0;0;0;0;0;0;0;0;0;0;0;0
Germany;Berlin;442;88;-2.7;-2.1;0.7;4.1;8.8;12.4;14;13.6;10.5;6.6;2.4;-1;2;3.6;7.8;12.9;18.4;21.9;23.3;23;19;13.7;7.3;3.4;43;34.1;37.4;40.9;56;75.3;52.3;60.5;45.5;36.2;49.3;53.4;10;8;8;9;10;10;9;8;8;8;10;11;2;2;5;6;8;8;8;7;6;4;2;1
Spain;Bilbao;403;111;34.7;5.1;5.7;7.1;10.1;12.6;14.8;15.2;13.2;10.8;7.6;6;13.2;14.5;15.9;16.8;20.1;22.6;25.2;25.5;24.4;20.8;16.4;14;126;97;94;124;90;64;62;82;74;121;141;116;16;15;15;17;16;12;11;12;12;14;15;16;0;0;0;0;0;0;0;0;0;0;0;0
Kyrgyzstan;Bishkek;592;113;-8.6;-7.3;-0.3;6.3;10.9;15.1;17.5;15.7;10.6;4.5;-1.1;-5.4;2.7;3.3;10.1;18.1;23.1;28.4;31.4;29.9;24.8;17.1;10.1;4.8;26;31;47;76;64;35;19;12;17;43;44;28;6.2;6.4;8.5;8.8;7.9;4.4;3.2;2.2;2.7;5.8;6.5;5.6;0;0;0;0;0;0;0;0;0;0;0;0
